Generator,Sample,Mean,StdDev,CV,ChiSquare,Uniform_Passed,Random_Passed
LCG,1,2433.79,1434.03,0.589218,12.38,Yes,No
LCG,2,2520.55,1458.89,0.5788,9.32,Yes,Yes
LCG,3,2513.89,1423.23,0.566145,4.94,Yes,Yes
LCG,4,2452.13,1415.97,0.577444,8.08,Yes,Yes
LCG,5,2483.56,1447.19,0.582708,5.8,Yes,Yes
LCG,6,2492.65,1469.4,0.589491,6.5,Yes,Yes
LCG,7,2403.69,1439.68,0.598947,10.52,Yes,Yes
LCG,8,2431.97,1429.86,0.587945,7.36,Yes,Yes
LCG,9,2472.46,1486.68,0.601297,9.74,Yes,Yes
LCG,10,2485.98,1468.97,0.590901,9.88,Yes,No
LCG,11,2432.87,1444.39,0.593699,11.22,Yes,Yes
LCG,12,2464.15,1443.25,0.585698,9.56,Yes,Yes
LCG,13,2510.21,1407.97,0.560896,6.82,Yes,Yes
LCG,14,2516.98,1425.78,0.566465,5.86,Yes,Yes
LCG,15,2524.59,1410.17,0.558574,10.12,Yes,Yes
LCG,16,2473.54,1431.07,0.578552,3.7,Yes,Yes
LCG,17,2523.41,1440.88,0.571005,7.98,Yes,Yes
LCG,18,2403.96,1449.38,0.602913,9.32,Yes,Yes
LCG,19,2448.88,1407.94,0.574933,10.1,Yes,Yes
LCG,20,2486.91,1436.16,0.577489,7.22,Yes,Yes
XorShift,1,2486.85,1456.9,0.585842,6.84,Yes,Yes
XorShift,2,2494.24,1421.53,0.569925,4.76,Yes,Yes
XorShift,3,2577.1,1438.65,0.558243,8.24,Yes,Yes
XorShift,4,2484.38,1415.58,0.569791,8.82,Yes,Yes
XorShift,5,2527,1429.08,0.565523,4.76,Yes,Yes
XorShift,6,2493.96,1454.93,0.583379,11.72,Yes,Yes
XorShift,7,2565.85,1448.26,0.564436,5.96,Yes,Yes
XorShift,8,2407.3,1449.99,0.602328,8.02,Yes,Yes
XorShift,9,2553.4,1444.03,0.565533,6.44,Yes,Yes
XorShift,10,2516.91,1429.58,0.567991,5.52,Yes,Yes
XorShift,11,2514.56,1458.29,0.57994,4.06,Yes,Yes
XorShift,12,2678.06,1460.15,0.545227,24.34,No,No
XorShift,13,2617.98,1436.95,0.548878,15.04,Yes,Yes
XorShift,14,2510.96,1430.19,0.56958,10.58,Yes,No
XorShift,15,2448.89,1450.5,0.592309,13.04,Yes,Yes
XorShift,16,2516.31,1464.53,0.582015,15.1,Yes,Yes
XorShift,17,2481.94,1423.04,0.573358,4.04,Yes,Yes
XorShift,18,2520.81,1477.31,0.586043,6.12,Yes,Yes
XorShift,19,2527.2,1413.39,0.559272,23.94,No,Yes
XorShift,20,2506.43,1418.82,0.566072,4.24,Yes,Yes
LaggedFibonacci,1,2543.31,1426.68,0.560953,7.84,Yes,Yes
LaggedFibonacci,2,2496.75,1458.46,0.584142,2.42,Yes,No
LaggedFibonacci,3,2485.51,1445.71,0.581657,13.62,Yes,No
LaggedFibonacci,4,2512.05,1450.64,0.577473,4.54,Yes,Yes
LaggedFibonacci,5,2432.82,1411.39,0.580145,5.34,Yes,Yes
LaggedFibonacci,6,2413.68,1462.84,0.606063,5.9,Yes,Yes
LaggedFibonacci,7,2521.35,1454.36,0.576816,2.92,Yes,Yes
LaggedFibonacci,8,2513.46,1490.74,0.593102,16.58,Yes,Yes
LaggedFibonacci,9,2393.61,1454.27,0.607562,12.2,Yes,Yes
LaggedFibonacci,10,2535.85,1467.21,0.578588,9.76,Yes,Yes
LaggedFibonacci,11,2389.69,1447.61,0.605774,15.1,Yes,Yes
LaggedFibonacci,12,2507.15,1469.55,0.586145,13.72,Yes,Yes
LaggedFibonacci,13,2507.42,1415.61,0.564569,8.28,Yes,Yes
LaggedFibonacci,14,2587.37,1441.34,0.55707,8.72,Yes,Yes
LaggedFibonacci,15,2520.64,1422.52,0.564348,11.84,Yes,Yes
LaggedFibonacci,16,2501.03,1402.36,0.560714,4.08,Yes,Yes
LaggedFibonacci,17,2413.64,1450.22,0.600841,12.7,Yes,Yes
LaggedFibonacci,18,2494.25,1416.02,0.567715,11.66,Yes,Yes
LaggedFibonacci,19,2466.88,1458.65,0.591291,4.2,Yes,Yes
LaggedFibonacci,20,2449.19,1413.21,0.577012,12.38,Yes,No
